,Planet_Mass,Epsilon,Alpha,Stokes,Aspect_Ratio,SigmaSlope,Dust_gap_1,Gas_gap_1,Dust_depth_1,Gas_depth_1,Dust_gap_2,Dust_depth_2,#_DG,#_GG
0,43.66666666666667,0.0589,0.0017399999999999998,0.00112,0.0593,0.971,0.345,0.0,1.69e-06,0.0,0.0,0.0,1.0,0.0
1,102.99999999999999,0.0558,0.0046700000000000005,0.0863,0.0452,0.946,0.845,0.34,1.0299999999999999e-30,2.05e-05,0.0,0.0,1.0,1.0
2,16.633333333333333,0.0691,0.009890000000000001,0.042,0.0392,0.5379999999999999,0.07400000000000001,0.0,2.28e-07,0.0,0.0,0.0,1.0,0.0
3,38.0,0.0762,0.006940000000000001,0.0524,0.0263,1.31,0.718,0.185,1.21e-14,2.52e-05,0.0,0.0,1.0,1.0
4,75.66666666666666,0.0219,0.00151,0.0684,0.0508,1.29,0.878,0.308,5.37e-39,2.2e-05,0.0,0.0,1.0,1.0
5,99.66666666666667,0.0814,0.0035600000000000002,0.0259,0.0798,0.71,0.705,0.0,9.41e-08,0.0,0.0,0.0,1.0,0.0
6,61.33333333333333,0.0517,0.00421,0.0878,0.0445,1.3,0.804,0.23,1.6400000000000001e-28,3.46e-05,0.0,0.0,1.0,1.0
7,26.43333333333333,0.064,0.00583,0.0331,0.0496,0.993,0.078,0.0,2.95e-07,0.0,0.0,0.0,1.0,0.0
8,21.866666666666664,0.0837,0.000772,0.0848,0.0633,0.904,0.369,0.0,3.35e-06,0.0,0.0,0.0,1.0,0.0
9,35.66666666666667,0.0991,0.000129,0.0808,0.0665,0.8009999999999999,0.8240000000000001,0.496,5.8799999999999995e-09,3.0799999999999996e-05,0.021,3.01e-06,2.0,1.0
10,119.0,0.025,0.00213,0.0777,0.0298,0.99,0.5539999999999999,0.431,9.99e-10,3.33e-07,0.39399999999999996,9.43e-10,2.0,1.0
11,16.266666666666666,0.0519,0.00618,0.0912,0.0288,1.22,0.693,0.0,9.2e-16,0.0,0.0,0.0,1.0,0.0
12,33.233333333333334,0.0669,0.00632,0.052,0.0324,1.27,0.718,0.131,1.99e-14,4.35e-05,0.0,0.0,1.0,1.0
13,76.33333333333333,0.0343,0.009059999999999999,0.0231,0.0559,0.5870000000000001,0.6809999999999999,0.0,2.43e-09,0.0,0.0,0.0,1.0,0.0
14,117.33333333333333,0.0404,0.0018100000000000002,0.0648,0.0718,0.88,0.935,0.345,4.91e-25,3.6e-05,0.0,0.0,1.0,1.0
15,103.66666666666666,0.0427,0.00746,0.0595,0.048,1.27,0.7829999999999999,0.23399999999999999,1.4699999999999999e-18,3.75e-05,0.0,0.0,1.0,1.0
16,88.66666666666667,0.0685,0.00367,0.0633,0.0257,1.22,0.5539999999999999,0.336,4.13e-09,9.2e-07,0.271,4.49e-09,2.0,1.0
17,103.66666666666666,0.0856,0.00495,0.0136,0.0567,1.26,0.722,0.23,3.57e-10,4.1e-05,0.0,0.0,1.0,1.0
18,64.66666666666667,0.0826,0.004520000000000001,0.0727,0.0511,0.603,0.7959999999999999,0.19699999999999998,1.0500000000000001e-20,4.28e-05,0.0,0.0,1.0,1.0
19,113.33333333333331,0.0884,0.006220000000000001,0.0714,0.0303,0.589,0.8240000000000001,0.349,4.0499999999999996e-20,4.03e-06,0.0,0.0,1.0,1.0
20,116.99999999999999,0.0743,0.0012699999999999999,0.0994,0.0461,1.1,0.9470000000000001,0.488,3.8000000000000003e-25,4.47e-06,0.0,0.0,1.0,1.0
21,68.0,0.0121,0.00106,0.0368,0.0252,1.1,0.431,0.34,1.4099999999999999e-09,1.35e-07,0.353,7.2e-10,2.0,1.0
22,42.0,0.0347,0.000376,0.0883,0.0635,1.46,0.87,0.316,1.02e-56,3.43e-05,0.0,0.0,1.0,1.0
23,77.66666666666666,0.0338,0.000607,0.0316,0.0369,0.784,0.5539999999999999,0.34,6.77e-09,1.82e-06,0.275,6.3e-09,2.0,1.0
24,86.33333333333333,0.0999,0.000863,0.0245,0.0978,1.04,0.664,0.0,2.47e-06,0.0,0.0,0.0,1.0,0.0
25,69.33333333333334,0.0166,0.00842,0.0504,0.0632,0.598,0.111,0.0,9.77e-08,0.0,0.0,0.0,1.0,0.0
26,15.333333333333332,0.0525,0.00836,0.0351,0.0343,0.631,0.632,0.0,8.7e-09,0.0,0.0,0.0,1.0,0.0
27,89.66666666666666,0.0602,0.0011,0.0382,0.0734,1.05,0.804,0.316,1.9e-14,3.9200000000000004e-05,0.025,1.75e-06,2.0,1.0
28,62.666666666666664,0.0889,0.00264,0.0392,0.0395,1.41,0.8079999999999999,0.271,2.19e-20,1.9e-05,0.0,0.0,1.0,1.0
29,49.99999999999999,0.0523,0.00663,0.0273,0.0447,0.669,0.71,0.0,5.5700000000000005e-11,0.0,0.0,0.0,1.0,0.0
30,111.99999999999999,0.0665,0.00659,0.0443,0.0669,1.49,0.746,0.0,9.31e-08,0.0,0.0,0.0,1.0,0.0
31,98.0,0.0249,0.007679999999999999,0.092,0.0655,1.01,0.73,0.0,7.190000000000001e-09,0.0,0.0,0.0,1.0,0.0
32,37.666666666666664,0.0723,0.00502,0.0227,0.03,0.628,0.718,0.185,7.55e-12,2.9600000000000005e-05,0.0,0.0,1.0,1.0
33,91.0,0.094,0.00227,0.0759,0.0345,1.28,0.865,0.369,1.1699999999999999e-09,3.54e-06,0.0,0.0,1.0,1.0
34,110.33333333333334,0.0631,0.00949,0.0311,0.0672,1.36,0.685,0.0,2.18e-08,0.0,0.0,0.0,1.0,0.0
35,71.66666666666666,0.0407,0.0012,0.0589,0.0567,0.557,0.8859999999999999,0.32,9.3e-30,2.7300000000000003e-05,0.0,0.0,1.0,1.0
36,87.33333333333334,0.079,0.00126,0.0161,0.0595,1.14,0.8290000000000001,0.324,7.22e-14,2.75e-05,0.0,0.0,1.0,1.0
37,117.99999999999999,0.0634,0.0086,0.0493,0.0618,0.62,0.677,0.0,2.02e-08,0.0,0.0,0.0,1.0,0.0
38,73.33333333333333,0.0875,0.001,0.0708,0.0936,0.769,0.669,0.0,3.06e-06,0.0,0.0,0.0,1.0,0.0
39,16.366666666666667,0.0973,0.006509999999999999,0.0293,0.0447,1.03,0.057,0.0,5.88e-07,0.0,0.0,0.0,1.0,0.0
40,74.66666666666667,0.0829,0.00975,0.0526,0.066,1.45,0.115,0.0,4.8e-07,0.0,0.0,0.0,1.0,0.0
41,98.0,0.0305,0.00557,0.0976,0.0251,0.823,0.833,0.336,2.42e-10,1.27e-06,0.0,0.0,1.0,1.0
42,36.666666666666664,0.0568,0.008579999999999999,0.0103,0.0575,0.731,0.066,0.0,1.71e-06,0.0,0.0,0.0,1.0,0.0
43,74.33333333333333,0.0614,0.00848,0.0463,0.0547,0.977,0.71,0.0,8.61e-09,0.0,0.0,0.0,1.0,0.0
