,Sample#,Planet_Mass,Epsilon,Alpha,Stokes,Aspect_Ratio,SigmaSlope,Dust_gap_1,Gas_gap_1,Dust_depth_1,Gas_depth_1,Dust_gap_2,Dust_depth_2,#_DG,#_GG
0,950,0.000128,0.0565,0.00524,0.0756,0.087,0.541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,951,0.000109,0.0352,0.00123,0.0271,0.088,0.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,952,0.000226,0.0915,0.00391,0.00137,0.0997,0.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,953,0.000233,0.0338,0.000607,0.0316,0.0369,0.784,0.5539999999999999,0.34,6.77e-09,1.82e-06,0.275,6.3e-09,2.0,1.0
4,954,0.000174,0.085,0.00411,0.0535,0.0795,0.7390000000000001,0.037000000000000005,0.0,3.57e-06,0.0,0.0,0.0,1.0,0.0
5,955,0.000288,0.0866,0.00349,0.0635,0.0641,0.743,0.779,0.295,1.82e-18,3.929999999999999e-05,0.0,0.0,1.0,1.0
6,956,0.000166,0.0679,0.00825,0.0852,0.09,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,957,0.000343,0.0717,0.008709999999999999,0.08,0.027,0.9009999999999999,0.804,0.336,1.3699999999999998e-17,3.44e-06,0.0,0.0,1.0,1.0
8,958,0.00014199999999999998,0.0574,0.00809,0.0877,0.0539,0.858,0.677,0.0,3.49e-08,0.0,0.0,0.0,1.0,0.0
9,959,0.000241,0.0414,0.00957,0.0040100000000000005,0.035,0.875,0.66,0.23,6.02e-08,2.95e-05,0.0,0.0,1.0,1.0
10,960,0.000185,0.0313,0.007890000000000001,0.0146,0.0538,1.3,0.632,0.0,7.110000000000001e-08,0.0,0.0,0.0,1.0,0.0
11,961,0.000169,0.0143,0.0034200000000000003,0.0477,0.0612,1.07,0.738,0.0,2.86e-12,0.0,0.0,0.0,1.0,0.0
12,962,0.000223,0.0616,0.0058200000000000005,0.0322,0.057,1.07,0.664,0.0,1.48e-08,0.0,0.0,0.0,1.0,0.0
13,963,0.00025,0.0907,0.00742,0.0319,0.0707,0.745,0.11900000000000001,0.0,3.84e-07,0.0,0.0,0.0,1.0,0.0
14,964,0.000304,0.0688,0.00855,0.0175,0.059,1.16,0.6970000000000001,0.0,3.37e-09,0.0,0.0,0.0,1.0,0.0
15,965,0.000231,0.0808,0.00103,0.0447,0.0753,1.07,0.8,0.295,1.2e-09,4.1700000000000004e-05,0.0,0.0,1.0,1.0
16,966,0.000298,0.0799,0.00331,0.0394,0.0701,1.38,0.792,0.0,6.440000000000001e-08,0.0,0.0,0.0,1.0,0.0
17,967,6.17e-05,0.0635,0.00162,0.0509,0.0471,0.955,0.701,0.0,2.7e-11,0.0,0.0,0.0,1.0,0.0
18,968,0.000322,0.0444,0.006809999999999999,0.0694,0.0762,1.42,0.107,0.0,4.6399999999999997e-07,0.0,0.0,0.0,1.0,0.0
19,969,0.000244,0.0858,0.0024,0.0284,0.0436,0.836,0.8240000000000001,0.308,1.78e-18,1.6800000000000002e-05,0.0,0.0,1.0,1.0
20,970,2.95e-05,0.0382,0.00468,0.0068200000000000005,0.0534,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,971,0.00035499999999999996,0.0163,0.00257,0.02,0.0366,1.24,0.833,0.369,2.6600000000000003e-16,3.47e-06,0.0,0.0,1.0,1.0
22,972,0.00014,0.0128,0.00527,0.0874,0.082,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,973,0.000272,0.0659,0.0026,0.0786,0.0367,0.956,0.857,0.35700000000000004,5.329999999999999e-29,6.28e-06,0.0,0.0,1.0,1.0
24,974,0.000155,0.0169,0.007559999999999999,0.0462,0.0429,0.597,0.722,0.0,2.9e-13,0.0,0.0,0.0,1.0,0.0
25,1075,0.000323,0.0727,0.00913,0.0962,0.0639,1.47,0.7509999999999999,0.0,2.84e-08,0.0,0.0,0.0,1.0,0.0
26,1076,0.00024700000000000004,0.0693,0.00159,0.00442,0.0838,1.03,0.111,0.0,6.36e-06,0.0,0.18,3.87e-06,3.0,0.0
27,1077,3.5600000000000005e-05,0.0177,0.0005740000000000001,0.0722,0.0818,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1078,0.00028700000000000004,0.0457,0.00798,0.0905,0.0408,1.49,0.787,0.263,6.13e-22,2.8899999999999998e-05,0.0,0.0,1.0,1.0
29,1079,0.000175,0.0938,0.00718,0.0406,0.0431,1.09,0.722,0.139,1.8700000000000003e-12,4.59e-05,0.0,0.0,1.0,1.0
30,1080,0.000357,0.0654,0.00366,0.0533,0.0394,0.83,0.861,0.373,1.06e-23,7.91e-06,0.0,0.0,1.0,1.0
31,1081,0.00015,0.0523,0.00663,0.0273,0.0447,0.669,0.71,0.0,5.5700000000000005e-11,0.0,0.0,0.0,1.0,0.0
32,1082,7.62e-05,0.0652,0.00783,0.0953,0.0303,0.764,0.705,0.0,8.519999999999999e-16,0.0,0.0,0.0,1.0,0.0
33,1083,0.000212,0.0615,0.009470000000000001,0.065,0.0286,1.49,0.7509999999999999,0.25,2.84e-16,1.6800000000000002e-05,0.0,0.0,1.0,1.0
34,1084,0.000188,0.0447,0.00796,0.0499,0.0904,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1085,0.000206,0.0462,0.00282,0.00195,0.0486,0.78,0.599,0.23,6.97e-08,3.4899999999999995e-05,0.0,0.0,1.0,1.0
36,1086,0.000145,0.0965,0.007370000000000001,0.0588,0.0288,0.52,0.738,0.213,6.26e-16,2.4299999999999998e-05,0.0,0.0,1.0,1.0
37,1087,0.000195,0.0543,0.00186,0.0154,0.0808,0.7829999999999999,0.078,0.0,8.15e-07,0.0,0.0,0.0,1.0,0.0
38,1088,0.000138,0.0541,0.00551,0.0168,0.0933,0.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1089,0.000204,0.0998,0.00922,0.0315,0.0717,1.2,0.09,0.0,7.890000000000001e-07,0.0,0.0,0.0,1.0,0.0
40,1090,0.000304,0.0346,0.00893,0.0953,0.0637,1.28,0.726,0.0,2.85e-09,0.0,0.0,0.0,1.0,0.0
41,1091,0.000309,0.0558,0.0046700000000000005,0.0863,0.0452,0.946,0.845,0.34,1.0299999999999999e-30,2.05e-05,0.0,0.0,1.0,1.0
42,1092,0.000162,0.0513,0.0022600000000000003,0.0105,0.0855,1.12,0.028999999999999998,0.0,2.31e-06,0.0,0.0,0.0,1.0,0.0
43,1093,0.00028,0.0607,0.00454,0.0119,0.0675,0.6920000000000001,0.705,0.0,3.42e-08,0.0,0.0,0.0,1.0,0.0
44,1025,5.720000000000001e-05,0.0468,0.00201,0.0623,0.0692,0.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,1026,0.000136,0.0127,0.00145,0.0826,0.0723,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,1027,0.00024300000000000002,0.0417,0.00717,0.0631,0.0605,1.35,0.718,0.0,9.76e-09,0.0,0.0,0.0,1.0,0.0
47,1028,0.00011200000000000001,0.0406,0.00943,0.0017800000000000001,0.0323,1.03,0.172,0.0,5.14e-07,0.0,0.0,0.0,1.0,0.0
