,Planet_Mass,Epsilon,Alpha,Stokes,Aspect_Ratio,SigmaSlope,Dust_gap_1,Dust_gap_2
383,93.66666666666666,0.0149,0.00517,0.0254,0.0267,0.5770000000000001,0.7959999999999999,0.0
489,25.13333333333333,0.0307,0.00288,0.0913,0.0362,0.735,0.7509999999999999,0.0
352,114.66666666666669,0.0316,0.005220000000000001,0.021,0.0743,0.8029999999999999,0.6890000000000001,0.0
14,117.33333333333331,0.0404,0.00181,0.0648,0.0718,0.88,0.935,0.0
146,111.66666666666669,0.0656,0.00344,0.0287,0.0859,1.49,0.103,0.0
423,82.66666666666667,0.0467,0.0040100000000000005,0.0293,0.0407,1.1,0.792,0.0
758,118.33333333333331,0.0163,0.00257,0.02,0.0366,1.24,0.833,0.0
254,111.66666666666669,0.0228,0.0016699999999999998,0.00657,0.0829,1.09,0.7709999999999999,0.0
176,85.99999999999999,0.0578,0.0041,0.0835,0.0392,0.883,0.8240000000000001,0.0
232,51.33333333333334,0.0112,0.0073599999999999985,0.00517,0.0509,1.4,0.115,0.0
31,98.0,0.0249,0.0076799999999999985,0.092,0.0655,1.01,0.73,0.0
236,110.66666666666666,0.0297,0.00982,0.0899,0.0549,1.45,0.722,0.0
769,44.0,0.0331,0.007259999999999998,0.0512,0.0518,1.42,0.66,0.0
567,95.0,0.0363,0.00562,0.0791,0.0729,1.31,0.71,0.0
157,118.0,0.0844,0.008790000000000001,0.0907,0.0398,1.13,0.804,0.0
216,103.0,0.0184,0.00151,0.0698,0.0845,1.26,0.705,0.107
442,35.333333333333336,0.0181,0.0061,0.0395,0.0544,0.995,0.07400000000000001,0.0
436,117.66666666666666,0.0322,0.0009789999999999998,0.0581,0.0835,1.13,0.952,0.0
103,93.66666666666666,0.0356,0.00471,0.0289,0.0587,0.918,0.73,0.0
387,78.0,0.0334,0.00613,0.0118,0.07400000000000001,1.09,0.09,0.0
194,119.0,0.0654,0.00366,0.0533,0.0394,0.83,0.861,0.0
